name,evidence_count,dominant_themes,sample_excerpt
Donald Trump,69,Legality and War Powers; Imminence and Threat; Public Opinion; Historical Comparisons,"| Date | Event | |------|-------| | Jan 29, 2026 | Kaine/Paul War Powers Resolution introduced in Senate; Khanna/Massie in House | | Feb 24, 2026 | Trump State of the Union; Rubio briefed Gang of Eight | | Feb 25, 2026 | Kaine, Schumer, Schiff announce push for War Powers vote | | Feb 28, 2026 | U.S. and Israel launch strikes on Iran (Operation Epic Fury); Khamenei killed | | Mar 1, 2026 | Strike on girls' school in Minab (~180 killed); first U.S. troops killed | | Mar 3–4, 2026 | Classified briefings for Congress; Democrats issue warnings | | Mar 4,…"
Angus King,43,Legality and War Powers; Moral Irony; Imminence and Threat; Diplomacy,"**Premise:** Rubio's statements suggest U.S. military decisions were driven by Israeli actions, not independent U.S. security interests. **Key Proponents:** - **King:** ""Have we now delegated the most solemn decision that can be made in our society, the decision to go to war, to another country?"" - **Sanders:** ""Trump is gambling with American lives to fulfill Netanyahu's decades-long ambition."" - **Warner:** ""A war of choice that has been dictated by Israel's goals and timelines."" - **Gallego:** Slammed Israel for ""leading"" the operation — called it ""a…"
Hakeem Jeffries,18,Jeffries Evolution; Legality and War Powers; Imminence and Threat; Diplomacy,"**Premise:** The administration claimed ""imminent threat"" to justify strikes, but Democrats with intelligence access say no such evidence exists. **Key Proponents:** - **Warner** (Vice Chair, Intel Committee): ""I saw no evidence that Iran was on the verge of launching any kind of preemptive strike against the United States."" - **Kaine** (Armed Services/Foreign Relations): ""It was clearly not an imminent threat... That doesn't meet the definition of imminence under any legal criteria I'm aware of."" - **Jeffries:** Reported seeing ""zero evidence"" of…"
Bernie Sanders,15,Imminence and Threat; Legality and War Powers; Historical Comparisons; Jeffries Evolution,"**Premise:** Article I, Section 8 of the Constitution grants Congress alone the power to declare war. Trump launched strikes without congressional authorization. **Key Proponents:** - **Sanders:** ""An illegal, premeditated and unconstitutional war."" - **Warren:** ""This illegal war is based on lies."" - **Markey:** ""Illegal and unconstitutional."" - **Khanna:** ""An illegal regime change war."" - **Schiff:** ""Congress alone has the power to declare war... the Founders' worst fears have come to pass."" - **Kaine:** Led War Powers Resolution effort; called…"
Chuck Schumer,12,Legality and War Powers; Imminence and Threat; Public Opinion; Historical Comparisons,"| Date | Event | |------|-------| | Jan 29, 2026 | Kaine/Paul War Powers Resolution introduced in Senate; Khanna/Massie in House | | Feb 24, 2026 | Trump State of the Union; Rubio briefed Gang of Eight | | Feb 25, 2026 | Kaine, Schumer, Schiff announce push for War Powers vote | | Feb 28, 2026 | U.S. and Israel launch strikes on Iran (Operation Epic Fury); Khamenei killed | | Mar 1, 2026 | Strike on girls' school in Minab (~180 killed); first U.S. troops killed | | Mar 3–4, 2026 | Classified briefings for Congress; Democrats issue warnings | | Mar 4,…"
Ro Khanna,11,Legality and War Powers; Imminence and Threat; Intra-party Division; Diplomacy,"| Date | Event | |------|-------| | Jan 29, 2026 | Kaine/Paul War Powers Resolution introduced in Senate; Khanna/Massie in House | | Feb 24, 2026 | Trump State of the Union; Rubio briefed Gang of Eight | | Feb 25, 2026 | Kaine, Schumer, Schiff announce push for War Powers vote | | Feb 28, 2026 | U.S. and Israel launch strikes on Iran (Operation Epic Fury); Khamenei killed | | Mar 1, 2026 | Strike on girls' school in Minab (~180 killed); first U.S. troops killed | | Mar 3–4, 2026 | Classified briefings for Congress; Democrats issue warnings | | Mar 4,…"
Tim Kaine,11,Legality and War Powers; Historical Comparisons; Imminence and Threat; Public Opinion,"| Date | Event | |------|-------| | Jan 29, 2026 | Kaine/Paul War Powers Resolution introduced in Senate; Khanna/Massie in House | | Feb 24, 2026 | Trump State of the Union; Rubio briefed Gang of Eight | | Feb 25, 2026 | Kaine, Schumer, Schiff announce push for War Powers vote | | Feb 28, 2026 | U.S. and Israel launch strikes on Iran (Operation Epic Fury); Khamenei killed | | Mar 1, 2026 | Strike on girls' school in Minab (~180 killed); first U.S. troops killed | | Mar 3–4, 2026 | Classified briefings for Congress; Democrats issue warnings | | Mar 4,…"
Chris Murphy,11,Legality and War Powers; Imminence and Threat; Moral Irony; Diplomacy,"**Premise:** After classified briefings, Democrats emerged saying the administration presented no clear objectives, timeline, or exit strategy. **Key Proponents:** - **Warren:** ""The Trump Administration has no plan in Iran... he seems to have no plan for how to end it."" - **Murphy:** ""Multi-trillion-dollar endeavor with unclear and constantly evolving objectives."" - **Markey:** ""Donald Trump is waging an illegal war, and he has no plan to end it."" - **Blumenthal:** ""I am no more clear on what the priorities are going to be going forward."" -…"
Marco Rubio,10,Israel and Delegation; Imminence and Threat; Legality and War Powers; Jeffries Evolution,"| Date | Event | |------|-------| | Jan 29, 2026 | Kaine/Paul War Powers Resolution introduced in Senate; Khanna/Massie in House | | Feb 24, 2026 | Trump State of the Union; Rubio briefed Gang of Eight | | Feb 25, 2026 | Kaine, Schumer, Schiff announce push for War Powers vote | | Feb 28, 2026 | U.S. and Israel launch strikes on Iran (Operation Epic Fury); Khamenei killed | | Mar 1, 2026 | Strike on girls' school in Minab (~180 killed); first U.S. troops killed | | Mar 3–4, 2026 | Classified briefings for Congress; Democrats issue warnings | | Mar 4,…"
Thomas Massie,9,Legality and War Powers; Intra-party Division; Imminence and Threat; Diplomacy,"| Date | Event | |------|-------| | Jan 29, 2026 | Kaine/Paul War Powers Resolution introduced in Senate; Khanna/Massie in House | | Feb 24, 2026 | Trump State of the Union; Rubio briefed Gang of Eight | | Feb 25, 2026 | Kaine, Schumer, Schiff announce push for War Powers vote | | Feb 28, 2026 | U.S. and Israel launch strikes on Iran (Operation Epic Fury); Khamenei killed | | Mar 1, 2026 | Strike on girls' school in Minab (~180 killed); first U.S. troops killed | | Mar 3–4, 2026 | Classified briefings for Congress; Democrats issue warnings | | Mar 4,…"
